video_file_name,timestamp,text,emotion,hate_snippet,label
hate_video_2.mp4,"[['00:00:00', '00:00:11'], ['00:00:11', '00:00:16'], ['00:00:16', '00:00:22'], ['00:00:22', '00:00:26'], ['00:00:27', '00:00:32'], ['00:00:32', '00:00:39'], ['00:00:39', '00:00:46'], ['00:00:46', '00:00:49'], ['00:00:49', '00:00:55'], ['00:00:56', '00:01:04'], ['00:01:04', '00:01:11'], ['00:01:11', '00:01:17'], ['00:01:17', '00:01:21'], ['00:01:22', '00:01:29'], ['00:01:29', '00:01:35'], ['00:01:35', '00:01:37'], ['00:01:37', '00:01:39'], ['00:01:39', '00:01:43'], ['00:01:43', '00:01:49'], ['00:01:49', '00:01:54'], ['00:01:54', '00:01:56'], ['00:01:56', '00:01:58'], ['00:01:58', '00:02:01'], ['00:02:01', '00:02:04'], ['00:02:04', '00:02:06']]","["" I like children, I like tables, I like niggers, nose or e, there's ten old plays that"", "" will make me keep that's a hoe, keep you slump in a big black spoof, you know."", "" I do it like a barnyard, it's black growing and the end of a la sapie, what's your like"", ' to get a whole of me, great mate?', "" Well, these are red and a bunch of blue and niggers are black, you know that's fruit?"", "" But that old mine holds what's the heck, you gotta be black to get a welfare checkie number, no joke."", "" I ain't gotta make a burrow coat, and I ain't black to see, so I'm gonna say I'm old,"", "" I'll pour nigger, hating me."", ' Take a boogie, get the hoover, you off your own, or what, my old wife, you need me, get the boogie,', ' get the hoover white man way down south, you know, but I do it, take it black, get out my boy,', "" and the end of a la sapie, can't keep you away from me, a little nigger, hating me."", ' There are a mirror on the wall, though, as the black is stopping all.', "" A man that ain't getting it ain't no doubt, and it's holding up the trouble with his bad boom,"", "" mouth, throat, knees, and do it, it's called by the trouble he's approving, and the end of a la sapie,"", "" if we ain't ever white man, snake, with nigger, hating me."", ' Name a president, what do you say?', "" When are we white's gonna have our day?"", "" The niggers have theirs, it's a long, long time I'm a white nid's time,"", "" that I have mine, you know it, because I sure it's thinking about getting out my boy,"", "" and the end of a la sapie, can't wait and white dance, get it."", "" We're nigger, hating me."", ' Nigger, hating me.', ' Nigger, hating me.', ' Nigger, hating me.', ' Nigger, hating me.']","['HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'ANGRY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'NEUTRAL']","[['00:00:06', '00:02:06']]",Hate
hate_video_3.mp4,"[['00:00:00', '00:00:02'], ['00:00:02', '00:00:04'], ['00:00:04', '00:00:05'], ['00:00:05', '00:00:07'], ['00:00:07', '00:00:08'], ['00:00:08', '00:00:10'], ['00:00:10', '00:00:12'], ['00:00:12', '00:00:13'], ['00:00:13', '00:00:14'], ['00:00:14', '00:00:15'], ['00:00:15', '00:00:17'], ['00:00:17', '00:00:20'], ['00:00:20', '00:00:22'], ['00:00:22', '00:00:24'], ['00:00:24', '00:00:26'], ['00:00:26', '00:00:28'], ['00:00:28', '00:00:30'], ['00:00:30', '00:00:32'], ['00:00:32', '00:00:34'], ['00:00:34', '00:00:35'], ['00:00:35', '00:00:37'], ['00:00:37', '00:00:39'], ['00:00:39', '00:00:41'], ['00:00:41', '00:00:42'], ['00:00:42', '00:00:44'], ['00:00:44', '00:00:46'], ['00:00:46', '00:00:47'], ['00:00:47', '00:00:48'], ['00:00:48', '00:00:49'], ['00:00:49', '00:00:50'], ['00:00:50', '00:00:52'], ['00:00:52', '00:00:54'], ['00:00:54', '00:00:56'], ['00:00:56', '00:00:58'], ['00:00:58', '00:01:00'], ['00:01:00', '00:01:02'], ['00:01:02', '00:01:03'], ['00:01:03', '00:01:05'], ['00:01:05', '00:01:07'], ['00:01:07', '00:01:09'], ['00:01:09', '00:01:11'], ['00:01:11', '00:01:13'], ['00:01:13', '00:01:14'], ['00:01:14', '00:01:15'], ['00:01:15', '00:01:18'], ['00:01:18', '00:01:20'], ['00:01:20', '00:01:23'], ['00:01:23', '00:01:25'], ['00:01:25', '00:01:27'], ['00:01:27', '00:01:29'], ['00:01:29', '00:01:31'], ['00:01:31', '00:01:34'], ['00:01:34', '00:01:36'], ['00:01:36', '00:01:37'], ['00:01:37', '00:01:38'], ['00:01:38', '00:01:39'], ['00:01:39', '00:01:41'], ['00:01:41', '00:01:42'], ['00:01:42', '00:01:44'], ['00:01:44', '00:01:46'], ['00:01:46', '00:01:48'], ['00:01:48', '00:01:51'], ['00:01:51', '00:01:52'], ['00:01:52', '00:01:54'], ['00:01:54', '00:01:55'], ['00:01:55', '00:01:56'], ['00:01:56', '00:02:00'], ['00:02:00', '00:02:04'], ['00:02:04', '00:02:07'], ['00:02:07', '00:02:11'], ['00:02:11', '00:02:14'], ['00:02:14', '00:02:15'], ['00:02:15', '00:02:17'], ['00:02:17', '00:02:19'], ['00:02:19', '00:02:21'], ['00:02:21', '00:02:22'], ['00:02:22', '00:02:23'], ['00:02:23', '00:02:24'], ['00:02:24', '00:02:26'], ['00:02:26', '00:02:27'], ['00:02:27', '00:02:28'], ['00:02:28', '00:02:30'], ['00:02:30', '00:02:32'], ['00:02:32', '00:02:33'], ['00:02:33', '00:02:34'], ['00:02:34', '00:02:35'], ['00:02:35', '00:02:36'], ['00:02:36', '00:02:47'], ['00:02:47', '00:02:49'], ['00:02:49', '00:02:52'], ['00:02:52', '00:02:58'], ['00:02:58', '00:03:03'], ['00:03:03', '00:03:06'], ['00:03:06', '00:03:09'], ['00:03:09', '00:03:12'], ['00:03:12', '00:03:16'], ['00:03:16', '00:03:21'], ['00:03:21', '00:03:23'], ['00:03:23', '00:03:28'], ['00:03:28', '00:03:30'], ['00:03:46', '00:03:48']]","[' I should be must get through.', ' No, not too big.', ' Yeah man.', ' You mean Bobby, too good for this.', ' Yeah man.', ' Fuck all those niggers man.', ' Martin Luther King deserves a vacuon.', ' Yeah man.', ' Fuck you nigger.', ' This fuck was a part of this shit.', ' Fuck those niggers man.', ' Fuck all niggers.', ' Fuck all niggers.', ' Fuck all niggers.', ' Fuck all niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', "" Right now, they're my shit."", "" Right is they're my shit."", "" They want to right is they're my shit."", "" Because they can't get shit."", ' Go and get a job.', ' Stop trying to rob.', "" I'm trying to fuck my mom."", ' My biggest bigger than yards.', ' Fuck all niggers.', ' Thank you Vernon.', ' Hell.', ' Fuck roads up far.', "" It's not a slap at this."", ' Well niggers need the burn.', ' Niggers need the burn.', "" Niggers can't pass."", "" Niggers can't learn stupid ass."", ' Stupid ass.', "" Fuck's."", ' Try to fuck your shit.', ' Get a fucking job.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Yeah.', ' Bitch, my name is Bobby.', "" So, you're trying to rob me."", ' I got a pistol.', "" I'm suing a black nigger in his head again."", "" It's been time."", ' Lots of zordes.', "" I'm going to kill that nigger dead."", ' Kill that nigger dead.', ' Record that you can put it on world star as well.', ' Fuck all those niggers.', ' Thank you Vernon.', ' Hell.', ' Fuck their regard.', ' You passed fucking hell.', ' Fuck all those niggers.', "" I don't choke them out."", ' Fuck all those niggers.', "" I'll shoot it out."", ' If I never get some man, then shoot it out.', "" I don't like it."", "" Niggers, they'll beat you out."", ' They like the rob.', ' They like the table.', ' They like the car around back the same time.', ' Stupid ass niggers all they can do is run.', ' They can never give a fuck in 95.', "" Stupid ass niggers don't know five plus five."", ' They know that it like your rhyme of game time.', ' Yeah.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Fuck all those niggers.', ' Yeah.', ' Fuck all those niggers.', ' He was burning hell.', ' Aujourdays, Elie just come there.', ' Here.', ' She puts it on.', ' Yeah.', ' It needs to burn hell.', "" Man, even with a 在主角男部, and that's obviously for the"", ' all the niggers and they spent', ' how did you mother fuckers use to be slames?', ' not your thing you could ride in my escalate stupid ass nigger better team', ' my card good before I get this whip out it in choosing your hood', ' dumb ass nigger stupid ass nigger', "" you calling me a cracker? well it's better to be a nigger"", ' better than being a nigger', "" bitch you're so black you look like a damn shade"", ' bitch clean my car wild light strength lemonade', "" you're fucking slave"", ' fuck all those niggers nigger', ' real nigger ass nigger', ' you']","['SURPRISED', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'ANGRY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'ANGRY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'SURPRISED', 'NEUTRAL', 'NEUTRAL', 'DISGUSTED', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'HAPPY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'ANGRY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'ANGRY', 'ANGRY', 'HAPPY', 'NEUTRAL', 'NEUTRAL', 'HAPPY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'HAPPY', 'ANGRY', 'NEUTRAL', 'NEUTRAL', 'DISGUSTED', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'HAPPY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'HAPPY', 'HAPPY', 'HAPPY', 'DISGUSTED', 'SAD', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'ANGRY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'SAD']","[['00:00:03', '00:01:40'], ['00:01:41', '00:03:27']]",Hate
hate_video_4.mp4,"[['00:00:00', '00:00:09']]","[' Fuck jeans, we lose money, we lose the real cheese and the real Egyptians man, bang bang!']",['NEUTRAL'],"[['00:00:00', '00:00:13']]",Hate
hate_video_5.mp4,"[['00:00:00', '00:00:05'], ['00:00:05', '00:00:10'], ['00:00:10', '00:00:15'], ['00:00:15', '00:00:20'], ['00:00:20', '00:00:26'], ['00:00:26', '00:00:29'], ['00:00:29', '00:00:34']]","[' Hello, nigger, my old friend.', "" You've come to rob my house again."", "" Because you're nigger, so leave me be."", "" You rob my house while I'm sleeping."", "" And you're thinking nigger smells in my brain."", ' Still remain.', ' I am trans nigger.']","['SAD', 'NEUTRAL', 'SAD', 'SAD', 'NEUTRAL', 'SAD', 'NEUTRAL']","[['00:00:00', '00:00:39']]",Hate
hate_video_6.mp4,"[['00:00:00', '00:00:11'], ['00:00:11', '00:00:21'], ['00:00:21', '00:00:29'], ['00:00:29', '00:00:36'], ['00:00:36', '00:00:45'], ['00:00:45', '00:00:48'], ['00:00:48', '00:00:57'], ['00:00:57', '00:01:03'], ['00:01:03', '00:01:05'], ['00:01:11', '00:01:19']]","[' No riding today? No looting on the foot locker today? How unfortunate. You have not done', ' your nigger duty, have you? No, no nigger duty today. Maybe you need a little pick me up.', ' Here you go. You short? How about a monkey dance? I thought you guys danced for', ' for bans. Oh yeah? What are you gonna do?', ' Oh yeah? What are you gonna do? You gonna tell me like inherently violent savage that I know you are?', "" Or should you go and hang me over? Oh I can't wait."", "" Or so? Yeah, it's gonna be exciting. I can't. You know, when there's a nick hanging on every"", ' street pole in America and I can walk down the street and just see your dangling corpses all over', "" I just I just can't wait."", ' One less nigger around.']","['ANGRY', 'ANGRY', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'NEUTRAL', 'ANGRY', 'NEUTRAL', 'NEUTRAL']","[['00:00:00', '00:01:13']]",Hate
hate_video_7.mp4,"[['00:00:00', '00:00:06'], ['00:00:06', '00:00:09'], ['00:00:09', '00:00:12'], ['00:00:21', '00:00:25']]","['� Breathe deep in!', ' Oh God!', ' Oh, give me some fishing fish.', "" I'm that racist. These people really do all look alike.""]","['HAPPY', 'SAD', 'SAD', 'NEUTRAL']","[['00:00:00', '00:00:26']]",Hate
hate_video_8.mp4,"[['00:00:00', '00:00:10'], ['00:00:10', '00:00:28'], ['00:00:28', '00:00:36'], ['00:00:36', '00:00:46'], ['00:00:46', '00:00:48'], ['00:00:51', '00:01:02']]","["" Well, sex or bad, dead, no attention, but wounded, oh my god, but wounded, she's a lot wounded, but not in tears."", "" Well, she's a lot wounded, but not in tears, no, for me such things are made, she's all glass, all scary, but wounded, so dead and left, she's a bit left, she's talking to a white bread wounded, no."", "" That's what that mystery does, but wounded, oh my god, but we don't have many funny rechts."", "" No they're all great, lots and none lf farther than"", ' for theToEtoortri', 'athyout']","['NEUTRAL', 'SAD', 'SAD', 'HAPPY', 'NEUTRAL', 'SAD']","[['00:00:00', '00:00:57']]",Hate
hate_video_9.mp4,"[['00:00:00', '00:00:14'], ['00:00:14', '00:00:20'], ['00:00:20', '00:00:24'], ['00:00:24', '00:00:27'], ['00:00:27', '00:00:33'], ['00:00:33', '00:00:40'], ['00:00:40', '00:00:46'], ['00:00:46', '00:00:53'], ['00:00:53', '00:00:58'], ['00:01:23', '00:01:28'], ['00:01:28', '00:01:33'], ['00:01:33', '00:01:38'], ['00:01:38', '00:01:42'], ['00:01:42', '00:01:47'], ['00:01:47', '00:01:52'], ['00:01:52', '00:01:57'], ['00:01:57', '00:02:04'], ['00:02:04', '00:02:08'], ['00:02:08', '00:02:13'], ['00:02:13', '00:02:17'], ['00:02:17', '00:02:22']]","["" If you smell something funny when you walk down the street you're in town."", "" You look and see garbage all over the street you're in town."", ' Up and down the street the rain of the betray.', "" The girl's trying to get a nigger boy's hands."", ' They need to eat a spoon with a big moustache and a spoon town.', "" All the corner there's a nigger with a drink in his hand that's a spoon town."", ' Trying to pull my nigger from whoever he can and a spoon town.', "" I told you he survived you can make up that nigger old by tomorrow he'll be there yet."", "" He's trying to get it wrong and drunk he's gonna get in town."", ' This is a good time to walk down the street.', "" You can get a nigger boy's hands."", "" This is a good time to walk down the street you're in town."", "" You can get a nigger boy's hands."", "" He's trying to get it wrong and drunk he's gonna get in town."", "" This is a good time to walk down the street you're in town."", "" This is a good time to walk down the street you're in town."", ' They do all the taking while we have the gilded town.', ' The nightmare of the nigger is the nigger.', ' The end of the month is chit-chat will be there every nigger.', ' The nigger is living off the old well-fair hands.', ' The nigger is living off the old well-fair hands.']","['HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'SAD', 'SAD', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY', 'HAPPY']","[['00:00:07', '00:02:24']]",Hate
hate_video_10.mp4,"[['00:00:30', '00:00:32'], ['00:00:32', '00:00:34'], ['00:00:34', '00:00:36'], ['00:00:36', '00:00:38']]","["" I'm not going to lie."", "" I'm going to be lying."", "" You're going to be lying."", "" You're going to lie.""]","['HAPPY', 'DISGUSTED', 'NEUTRAL', 'SURPRISED']","[['00:00:00', '00:00:38']]",Hate
hate_video_11.mp4,"[['00:00:00', '00:00:02'], ['00:00:11', '00:00:13']]","[' Oh, you said he is.', "" I know it's funny, I'm muted the stream already.""]","['NEUTRAL', 'NEUTRAL']","[['00:00:00', '00:00:32']]",Hate
